HIF1A	JUN
TRIP4	JUN
MYBBP1A	JUN
SERPINA3	SERPINA3
PRKD1	JUN
DDX21	JUN
SPIB	JUN
PACS1	JUN
ATF4	JUN
HHEX	JUN
COPS5	JUN
MAFB	JUN
RFWD2	JUN
EN1	JUN
TBCB	USP7
CTSG	SERPINA3
GTF2B	JUN
HDAC3	JUN
UBE2I	JUN
RBM39	JUN
RAGE	JUN
MAPKAPK5	JUN
BATF	JUN
CREB5	JUN
COBRA1	JUN
TPM2	JUN
CTRL	SERPINA3
PIAS1	JUN
RPL18A	JUN
JDP2	JUN
SNRK	JUN
RNPEP	ZFYVE9
FHL2	ZFYVE9
EIF4G1	ZFYVE9
ZMYND8	ZFYVE9
CHD6	ZFYVE9
RBBP6	ZFYVE9
CTRB1	SERPINA3
RHOT2	ZFYVE9
SMAD5	SF3B1
MAPK14	JUNB
SMAD4	JUNB
MAPK8	JUNB
FOSL2	JUNB
SMAD3	JUNB
BATF	JUNB
JDP2	JUNB
TBP	JUND
CMA1	SERPINA3
NFE2L2	JUND
SMAD4	JUND
MAPK8	JUND
FOSL2	JUND
MAPK9	JUND
ATF3	JUND
COPS5	JUND
RFWD2	JUND
BATF	JUND
JDP2	JUND
MMP1	SERPINA3
SMAD5	SMAD4
CEBPB	SPI1
NONO	SPI1
GATA1	SPI1
IRF8	SPI1
IRF4	SPI1
SPIB	SPI1
SMAD5	SMAD1
FGFR2	FGF5
CELA1	SERPINA3
SMAD5	MTMR10
OPRK1	OPRD1
PRKCA	OPRD1
PRKCE	OPRD1
PRKCD	OPRD1
OPRM1	OPRD1
KLHL3	OPRD1
ELANE	SERPINA3
SLC9A3R1	OPRK1
CREBBP	MECOM
HDAC1	MECOM
CTBP1	MECOM
CTBP2	MECOM
SMAD3	MECOM
HDAC4	MECOM
KAT2B	MECOM
SMAD5	PNKP
ZIC1	GLI1
MST1	SERPINA3
ZIC2	GLI1
SUFU	GLI1
STK36	GLI1
SMAD5	SFPQ
ZIC1	GLI2
ZIC2	GLI2
SUFU	GLI2
STK36	GLI2
ZIC3	GLI3
CREBBP	GLI3
KLK2	SERPINA3
ZIC1	GLI3
SMAD4	GLI3
SMAD2	GLI3
SMAD1	GLI3
TWIST1	GLI3
ZIC2	GLI3
SMAD3	GLI3
SUFU	GLI3
STK36	GLI3
SMAD4	SKIL
ERBB2	SERPINA3
SMAD2	SKIL
SMAD3	SKIL
CDC16	SKIL
FZR1	SKIL
CPNE1	SKIL
CPNE2	SKIL
CPNE4	SKIL
SMURF2	SKIL
CBL	CBL
NHEJ1	LIG4
ADRA1D	FLNC
KLK3	SERPINA3
PLCG1	CBL
PTPN6	CBL
TYK2	CBL
ZAP70	CBL
ITK	CBL
ABL1	CBL
SRC	CBL
NOTCH1	CBL
BLK	CBL
BTK	CBL
F5	SERPINA3
SH3KBP1	CBL
SYK	CBL
